Age,Gender,Income,Credit Score,Loan Amount,Loan Purpose,Employment Status,Years at Current Job,Payment History,Debt-to-Income Ratio,Assets Value,Number of Dependents,City,State,Country,Previous Defaults,Marital Status Change,Risk Rating
49,Male,72799,688,45713,Business,Unemployed,19,Poor,0.154313296,120228,0,Port Elizabeth,AS,Cyprus,2,2,Low
21,Non-binary,55687,600,36623,Home,Employed,8,Fair,0.362398017,180700,3,South Scott,OK,Luxembourg,3,2,Medium
59,Male,26508,622,26541,Personal,Unemployed,2,Excellent,0.454964381,157319,3,Robinhaven,PR,Uganda,4,2,Medium
25,Non-binary,49427,766,36528,Personal,Unemployed,10,Fair,0.143242424,287140,,New Heather,IL,Namibia,3,1,Low
55,Male,32190,600,29918,Personal,Self-employed,5,Excellent,0.484333305,130507,4,Davidstad,VT,Thailand,,2,Low
42,Non-binary,116212,707,24771,Home,Employed,11,Excellent,0.114133748,212198,3,Matthewborough,NH,French Guiana,0,2,Medium
68,Male,79454,688,43365,Personal,Self-employed,15,Good,0.329281544,61967,,Dakotafurt,IA,Grenada,3,0,Medium
55,Male,70978,706,36970,Personal,Unemployed,19,Excellent,0.266940909,54041,3,Christophermouth,MO,Tonga,1,0,Medium
56,Non-binary,21084,702,22039,Personal,Employed,19,Fair,0.231046374,226053,2,East James,MP,Isle of Man,0,2,Medium
55,Female,61811,641,43859,Auto,Self-employed,18,Excellent,0.199707086,185670,,Aprilland,NH,Uruguay,,0,Low
41,Male,93133,791,14052,Business,Employed,13,Poor,0.282850057,82774,0,Lewisland,AZ,South Georgia and the South Sandwich Islands,1,0,Low
48,Non-binary,46408,632,48403,Personal,Unemployed,16,Excellent,0.185325306,93647,3,South Jason,KS,Guyana,1,0,Low
57,Female,54754,604,11947,Home,Self-employed,13,Good,0.287418594,282006,,Berryland,VT,Thailand,2,0,High
47,Female,33065,783,6895,Auto,Self-employed,2,Fair,0.116680916,158428,3,West Sharon,AL,Seychelles,2,0,Low
35,Female,101496,715,16971,Home,Employed,17,Fair,0.53378731,271400,1,Michaelburgh,TX,Anguilla,,0,Medium
21,Male,73952,631,49525,Auto,Unemployed,3,Excellent,0.143644091,32912,0,West Denisebury,KY,French Guiana,1,2,Low
65,Male,77146,796,38386,Business,Self-employed,17,Fair,0.323186386,262145,0,Johnsonside,LA,Vietnam,4,1,Medium
39,Non-binary,93509,703,16651,Auto,Unemployed,5,Fair,0.528582348,270036,0,North Joshuaborough,MI,Falkland Islands (Malvinas),0,0,Medium
29,Male,85164,710,14441,Personal,Unemployed,2,Poor,0.257828553,64687,1,South Austinhaven,HI,Niue,,0,Medium
47,Male,119747,613,26507,Business,Self-employed,10,Good,0.46492483,221402,,Rickymouth,CO,Sao Tome and Principe,1,0,Medium
36,Male,29868,635,12521,Auto,Employed,17,Excellent,0.350454133,240325,2,Wendyshire,ND,Dominica,4,0,Low
36,Female,68776,612,47707,Personal,Unemployed,11,Fair,0.332396791,68491,0,Port Christopher,NY,Brunei Darussalam,1,1,Low
54,Female,98669,720,19464,Business,Unemployed,2,Poor,0.167904091,26571,0,Smithview,IA,French Polynesia,1,0,High
19,Non-binary,112545,712,15503,Home,Unemployed,7,Poor,0.252172854,194154,0,Ibarraport,NJ,Zimbabwe,4,0,Low
39,Non-binary,118717,647,10656,Home,Self-employed,12,Poor,0.185634504,168504,1,Dennismouth,WY,Serbia,,2,Low
44,Non-binary,51280,750,22162,Home,Employed,11,Excellent,0.550130495,87579,3,East Danielmouth,AS,Haiti,1,2,Medium
65,Male,106526,650,23161,Auto,Employed,19,Poor,0.544867397,98025,4,Richardbury,ID,Armenia,0,0,Low
36,Non-binary,37105,720,33259,Home,Employed,7,Fair,0.412777028,294048,2,Yvonneland,NY,Brunei Darussalam,3,1,Medium
38,Non-binary,82093,726,20454,Home,Self-employed,5,Good,0.190221959,39434,2,East Brian,PW,South Africa,,0,High
39,Female,100015,615,23114,Business,Unemployed,14,Poor,0.484642491,85309,0,New Meganshire,NV,French Polynesia,3,0,Low
